Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.7470517377071193805108797175,0.747051737707119,0.747051737707119,0.747051737707119,0.747051737707119,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,674568.2
0.02,0,0.7409543811001908673041526007,0.740954381100191,0.740954381100191,0.740954381100191,0.740954381100191,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,1349136
0.03,0,0.7273275601678264995935006352,0.727327560167826,0.727327560167826,0.727327560167826,0.727327560167826,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,2023705
0.04,0,0.7154682300319588938972868035,0.715468230031959,0.715468230031959,0.715468230031959,0.715468230031959,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,2698273
0.05,0,0.7056389209682955838240350356,0.705638920968296,0.705638920968296,0.705638920968296,0.705638920968296,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,3372841
0.06,0,0.6974259364006918733769987740,0.697425936400692,0.697425936400692,0.697425936400692,0.697425936400692,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,4047410
0.07,0,0.6904560729593884096086623992,0.690456072959388,0.690456072959388,0.690456072959388,0.690456072959388,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,4721978
0.08,0,0.6844518270816941074103271216,0.684451827081694,0.684451827081694,0.684451827081694,0.684451827081694,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,5396546
0.09,0,0.6792115367086579028897741331,0.679211536708658,0.679211536708658,0.679211536708658,0.679211536708658,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,6071114
0.10,0,0.6754893250739038639921259566,0.675489325073904,0.675489325073904,0.675489325073904,0.675489325073904,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,6745682
0.11,0,0.6795766828585693748546632040,0.67957668285857,0.67957668285857,0.67957668285857,0.67957668285857,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,7420250
0.12,0,0.6826580221626219082538865527,0.682658022162622,0.682658022162622,0.682658022162622,0.682658022162622,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,8094819
0.13,0,0.6850010556925877610448862582,0.685001055692588,0.685001055692588,0.685001055692588,0.685001055692588,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,8769387
0.14,0,0.6867917934500313100602691160,0.686791793450031,0.686791793450031,0.686791793450031,0.686791793450031,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,9443956
0.15,0,0.6881628407958755264342126900,0.688162840795876,0.688162840795876,0.688162840795876,0.688162840795876,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,10118520
0.16,0,0.6892108735006067749659624606,0.689210873500607,0.689210873500607,0.689210873500607,0.689210873500607,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,10793090
0.17,0,0.6900077620758973731542745046,0.690007762075897,0.690007762075897,0.690007762075897,0.690007762075897,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,11467660
0.18,0,0.6906077748354032063581022926,0.690607774835403,0.690607774835403,0.690607774835403,0.690607774835403,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,12142230
0.19,0,0.6910526430463525533428277459,0.691052643046352,0.691052643046352,0.691052643046352,0.691052643046352,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,12816800
0.20,0,0.6913747086286704023362819118,0.69137470862867,0.69137470862867,0.69137470862867,0.69137470862867,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,13491360
0.21,0,0.6915994939799708606209556345,0.691599493979971,0.691599493979971,0.691599493979971,0.691599493979971,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,14165930
0.22,0,0.6917472402560620120267104425,0.691747240256062,0.691747240256062,0.691747240256062,0.691747240256062,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,14840500
0.23,0,0.6918341955997121752406472643,0.691834195599712,0.691834195599712,0.691834195599712,0.691834195599712,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,15515070
0.24,0,0.6918735419688865641287288863,0.691873541968886,0.691873541968886,0.691873541968886,0.691873541968886,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,16189640
0.25,0,0.6918760404011979716509667422,0.691876040401198,0.691876040401198,0.691876040401198,0.691876040401198,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,16864210
0.26,0,0.6920425687268398390819200361,0.69204256872684,0.69204256872684,0.69204256872684,0.69204256872684,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,17538770
0.27,0,0.6921905695596833325012749207,0.692190569559683,0.692190569559683,0.692190569559683,0.692190569559683,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,18213340
0.28,0,0.6923258506205565165117925001,0.692325850620556,0.692325850620556,0.692325850620556,0.692325850620556,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,18887910
0.29,0,0.6924532627678051747039297628,0.692453262767805,0.692453262767805,0.692453262767805,0.692453262767805,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,19562480
0.30,0,0.6925769100164323765747484719,0.692576910016432,0.692576910016432,0.692576910016432,0.692576910016432,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,20237050
0.31,0,0.6927003169436396744215576146,0.69270031694364,0.69270031694364,0.69270031694364,0.69270031694364,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,20911620
0.32,0,0.6928265428436234273826639092,0.692826542843624,0.692826542843624,0.692826542843624,0.692826542843624,0,0,0,0,11.49322260853939,89.12048703765128017232965057,89.12048703765128017232965057,21586180
